second_name,Rebanho,Data da coleta,Animal,AOL,POL,COL,EGS,ECC,PESOVIVO,PESOABATE,RC,FAMACHA,CC,AG,AC,AP,CT,CP,Profund
27,Ricardo,19/03/2022,Animal 25,"8,79","2,29","4,74","2,65","3,5",42.2,,,2.0,70.0,69.0,65.0,32.0,84.0,34.0,33.0
28,Ricardo,19/03/2022,Animal 26,"10,37","2,62","4,05","2,23",2,39.2,,,2.0,62.0,64.0,58.0,30.0,86.0,42.0,28.0
29,Ricardo,19/03/2022,Animal 27,9,"2,19","4,06","1,67","1,5",29.0,,,3.0,66.0,66.0,63.0,39.0,81.0,35.0,24.0
30,Ricardo,19/03/2022,Animal 28,"10,07","2,42","5,18","1,88",4,38.6,,,2.0,64.0,63.0,63.0,32.0,81.0,40.0,31.0
31,Ricardo,19/03/2022,Animal 29,"6,78","1,77","4,21","1,66","1,5",32.0,,,4.0,59.0,63.0,61.0,32.0,77.0,32.0,29.0
32,Ricardo,19/03/2022,Animal 30,"7,08","2,19","4,08","1,49",2,40.4,,,2.0,67.0,69.0,67.0,35.0,84.0,37.0,32.0
33,Ricardo,19/03/2022,Animal 31,"6,81","2,05","3,93","1,48","2,5",34.0,,,3.0,60.0,66.0,66.0,37.0,82.0,37.0,29.0
34,Ricardo,26/03/2022,Animal 45,"7,92","2,19","4,23","2,23","2,5",30.35,,,2.0,63.0,72.0,69.0,35.0,78.0,37.0,34.0
35,Ricardo,26/03/2022,Animal 46,"6,62","1,85","3,73","1,41","2,5",30.5,,,3.0,61.0,68.0,70.0,36.0,77.0,35.0,34.0
36,Ricardo,26/03/2022,Animal 47,"6,34","1,83","4,06","2,04","2,5",37.0,,,3.0,66.0,77.0,75.0,43.0,79.0,40.0,32.0
37,Ricardo,26/03/2022,Animal 48,"10,13","2,31","4,75","1,86",3,42.8,,,2.0,66.0,73.0,72.0,36.0,85.0,42.0,36.0
38,Ricardo,26/03/2022,Animal 49,"6,49","1,94","4,03","2,4","2,5",28.7,,,4.0,64.0,65.0,66.0,35.0,76.0,40.0,31.0
39,Ricardo,26/03/2022,Animal 50,"7,83","2,23","4,05","1,87","2,5",33.4,,,3.0,67.0,60.0,61.0,31.0,72.0,30.0,30.0
40,Ricardo,26/03/2022,Animal 51,"10,3","2,5","4,67","3,5",3,44.25,,,2.0,72.0,67.0,69.0,37.0,85.0,39.0,32.0
41,Ricardo,26/03/2022,Animal 52,"9,75","2,25","4,88","4,25",2,42.4,,,3.0,70.0,79.0,78.0,46.0,87.0,36.0,32.0
42,Ricardo,26/03/2022,Animal 53,"8,98","2,16","4,65","1,31","2,5",32.85,,,2.0,67.0,63.0,65.0,36.0,63.0,36.0,29.0
43,Ricardo,26/03/2022,Animal 54,"7,27","2,03","4,02","4,07",3,34.8,,,2.0,62.0,69.0,62.0,38.0,79.0,29.0,24.0
44,Ricardo,26/03/2022,Animal 55,"7,59","1,76","4,82","2,65","2,5",42.3,,,2.0,70.0,71.0,72.0,41.0,87.0,42.0,31.0
45,Ricardo,26/03/2022,Animal 56,"9,56","2,24","4,65","3,33","3,5",43.2,,,4.0,73.0,68.0,67.0,35.0,83.0,37.0,32.0
46,Ricardo,26/03/2022,Animal 57,"8,12","2,12","4,12","1,12","2,5",38.1,,,2.0,70.0,73.0,72.0,39.0,79.0,34.0,33.0
47,Ricardo,26/03/2022,Animal 58,"8,61","2,32","4,41","1,86","2,5",37.6,,,3.0,68.0,71.0,69.0,36.0,82.0,40.0,33.0
48,Ricardo,26/03/2022,Animal 59,"7,32","2,22","4,69","2,41",2,42.7,,,3.0,64.0,74.0,78.0,50.0,85.0,41.0,28.0
49,Ricardo,26/03/2022,Animal 60,"8,5","2,26","4,14","1,7",3,50.2,,,3.0,69.0,81.0,81.0,45.0,90.0,42.0,36.0
