Rebanho,Data da coleta,Animal,AOL,POL,COL,EGS,ECC,PESOVIVO,PESOABATE,RC,FAMACHA,CC,AG,AC,AP,CT,CP,Profund
Ricardo,19/03/2022,Animal 27,9,"2,19","4,06","1,67","1,5",29,,,3,66,66,63,39,81,35,24
Ricardo,19/03/2022,Animal 28,"10,07","2,42","5,18","1,88",4,"38,6",,,2,64,63,63,32,81,40,31
Ricardo,19/03/2022,Animal 29,"6,78","1,77","4,21","1,66","1,5",32,,,4,59,63,61,32,77,32,29
Ricardo,19/03/2022,Animal 30,"7,08","2,19","4,08","1,49",2,"40,4",,,2,67,69,67,35,84,37,32
Ricardo,19/03/2022,Animal 31,"6,81","2,05","3,93","1,48","2,5",34,,,3,60,66,66,37,82,37,29
Ricardo,19/03/2022,Animal 32,,,,,,,,,3,,,,,,,
Ricardo,19/03/2022,Animal 33,,,,,,,,,2,,,,,,,
Ricardo,19/03/2022,Animal 34,,,,,,,,,3,,,,,,,
Ricardo,19/03/2022,Animal 35,,,,,,,,,4,,,,,,,
Ricardo,19/03/2022,Animal 36,,,,,,,,,3,,,,,,,
Ricardo,19/03/2022,Animal 37,,,,,,,,,3,,,,,,,
Ricardo,19/03/2022,Animal 38,,,,,,,,,3,,,,,,,
Ricardo,19/03/2022,Animal 39,,,,,,,,,4,,,,,,,
Ricardo,19/03/2022,Animal 40,,,,,,,,,5,,,,,,,
Ricardo,19/03/2022,Animal 41,,,,,,,,,4,,,,,,,
Ricardo,19/03/2022,Animal 42,,,,,,,,,5,,,,,,,
Ricardo,19/03/2022,Animal 43,,,,,,,,,2,,,,,,,
Ricardo,19/03/2022,Animal 44,,,,,,,,,4,,,,,,,
Ricardo,26/03/2022,Animal 45,"7,92","2,19","4,23","2,23","2,5","30,35",,,2,63,72,69,35,78,37,34
Ricardo,26/03/2022,Animal 46,"6,62","1,85","3,73","1,41","2,5","30,5",,,3,61,68,70,36,77,35,34
Ricardo,26/03/2022,Animal 47,"6,34","1,83","4,06","2,04","2,5",37,,,3,66,77,75,43,79,40,32
Ricardo,26/03/2022,Animal 48,"10,13","2,31","4,75","1,86",3,"42,8",,,2,66,73,72,36,85,42,36
Ricardo,26/03/2022,Animal 49,"6,49","1,94","4,03","2,4","2,5","28,7",,,4,64,65,66,35,76,40,31
Ricardo,26/03/2022,Animal 50,"7,83","2,23","4,05","1,87","2,5","33,4",,,3,67,60,61,31,72,30,30
Ricardo,26/03/2022,Animal 51,"10,3","2,5","4,67","3,5",3,"44,25",,,2,72,67,69,37,85,39,32
Ricardo,26/03/2022,Animal 52,"9,75","2,25","4,88","4,25",2,"42,4",,,3,70,79,78,46,87,36,32
Ricardo,26/03/2022,Animal 53,"8,98","2,16","4,65","1,31","2,5","32,85",,,2,67,63,65,36,63,36,29
Ricardo,26/03/2022,Animal 54,"7,27","2,03","4,02","4,07",3,"34,8",,,2,62,69,62,38,79,29,24
Ricardo,26/03/2022,Animal 55,"7,59","1,76","4,82","2,65","2,5","42,3",,,2,70,71,72,41,87,42,31
Ricardo,26/03/2022,Animal 56,"9,56","2,24","4,65","3,33","3,5","43,2",,,4,73,68,67,35,83,37,32
Ricardo,26/03/2022,Animal 57,"8,12","2,12","4,12","1,12","2,5","38,1",,,2,70,73,72,39,79,34,33
Ricardo,26/03/2022,Animal 58,"8,61","2,32","4,41","1,86","2,5","37,6",,,3,68,71,69,36,82,40,33
Ricardo,26/03/2022,Animal 59,"7,32","2,22","4,69","2,41",2,"42,7",,,3,64,74,78,50,85,41,28
Ricardo,26/03/2022,Animal 60,"8,5","2,26","4,14","1,7",3,"50,2",,,3,69,81,81,45,90,42,36
CTT,04/05/2022,5080,,,,,"3,5",,,,3,,,,,,,
CTT,04/05/2022,4999,,,,,3,,,,1,,,,,,,
CTT,04/05/2022,7806,,,,,"4,5",,,,2,,,,,,,
CTT,04/05/2022,6008,,,,,4,,,,2,,,,,,,
CTT,04/05/2022,4897,,,,,3,,,,2,,,,,,,
CTT,04/05/2022,6660,,,,,2,,,,2,,,,,,,
CTT,04/05/2022,8442,,,,,2,,,,3,,,,,,,
CTT,04/05/2022,5120,,,,,3,,,,2,,,,,,,
CTT,04/05/2022,6338,,,,,"3,5",,,,4,,,,,,,
CTT,04/05/2022,4972,,,,,"3,5",,,,4,,,,,,,
CTT,04/05/2022,8419,,,,,"2,5",,,,2,,,,,,,
CTT,04/05/2022,6342,,,,,2,,,,3,,,,,,,
CTT,04/05/2022,7602,,,,,3,,,,4,,,,,,,
CTT,04/05/2022,6344,,,,,2,,,,3,,,,,,,
CTT,04/05/2022,5126,,,,,3,,,,2,,,,,,,
CTT,04/05/2022,6598,,,,,2,,,,4,,,,,,,
CTT,04/05/2022,3131,,,,,"1,5",,,,4,,,,,,,
CTT,04/05/2022,7896,,,,,1,,,,5,,,,,,,
CTT,04/05/2022,6606,,,,,1,,,,5,,,,,,,
CTT,04/05/2022,4947,,,,,"1,5",,,,5,,,,,,,
CTT,04/05/2022,4445,,,,,1,,,,4,,,,,,,
CTT,04/05/2022,7906,,,,,2,,,,4,,,,,,,
CTT,04/05/2022,7997,,,,,"3,5",,,,3,,,,,,,
CTT,04/05/2022,7859,,,,,3,,,,3,,,,,,,
CTT,04/05/2022,5122,,,,,1,,,,5,,,,,,,
