,NameImage,centroid-0,centroid-1,area,area_bbox,area_convex,area_filled,bbox-0,bbox-1,bbox-2,bbox-3,centroid_local-0,centroid_local-1,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,perimeter,perimeter_crofton,solidity,axis_major_length,axis_minor_length,AOL
0,045.png,680.6285129803712,1292.7313006348124,123186,253782,169228,123186,490,950,904,1563,190.62851298037114,342.7313006348124,0.9038732036398401,396.03697625063467,1,0.48540085585266096,683.7579981250676,2418.0155108391486,2295.103969864832,0.727929184295743,668.454826486024,285.96528082681226,"7,92"
1,049.png,647.5258343874672,1056.260572151406,102770,219456,142765,102770,485,736,866,1312,162.52583438746717,320.26057215140605,0.8915055103020199,361.7330894629805,2,0.4682943277923593,613.9657970929651,2187.179941039466,2078.939643819545,0.7198543060273876,598.8194427108674,271.2711065170926,"6,49"
2,059.png,762.0590510026742,964.6585007663548,155933,407550,229418,155933,513,577,1063,1318,249.05905100267424,387.6585007663548,0.9180152821744288,445.57834544464583,1,0.3826107226107226,874.762253415178,2777.0937213259504,2635.5314602355515,0.6796894751065741,813.4563936764379,322.5720704195309,"7,32"
3,054.png,572.2639913798733,925.9670976730011,91878,209950,131335,91878,387,643,812,1137,185.26399137987332,282.96709767300115,0.906215407279557,342.02734231516826,1,0.4376184805906168,587.4555302318636,1841.746391493337,1749.1592852019662,0.699569802413675,583.9569084408965,246.90650771691438,"7,27"
4,057.png,606.0557069330911,916.184457979377,112302,294502,188127,112302,425,572,907,1183,181.05570693309113,344.18445797937704,0.9047802323660394,378.13667813748015,1,0.38132847994241126,750.0166664814856,2376.0327547818515,2255.301821290971,0.5969478065349472,678.5116880987454,288.96372664957795,"8,12"
5,048.png,702.0597866729642,1426.711345954527,152442,419265,239040,152442,438,1052,1043,1745,264.05978667296415,374.71134595452696,0.9136416822351824,440.56234823066495,1,0.3635934313620264,796.9253415471238,2526.081528017131,2397.556978562812,0.6377259036144578,780.9330162031414,317.4652413725603,"10,13"
6,050.png,615.20964779728,566.5802626990585,86030,223231,121148,86030,447,261,826,850,168.20964779728,305.5802626990585,0.9413823054575714,330.963439119136,1,0.3853855423305903,671.3002308952381,1972.209378290989,1872.4532534944365,0.7101231551490739,626.6551736102637,211.39685880327536,"7,83"
7,056.png,663.8076495971738,1118.4880568204685,134177,323420,200817,134177,433,784,948,1412,230.80764959717388,334.4880568204685,0.9134792509642425,413.32730661538676,1,0.414869210314761,715.997905024868,2155.6774157225245,2046.7845590468125,0.6681555844375725,712.900538454385,290.0687588343705,"9,56"
8,060.png,634.2019602608597,907.6972960604096,131105,268583,186091,131105,500,539,927,1168,134.2019602608596,368.6972960604096,0.8953471863271738,408.56831804791653,1,0.48813588350714676,688.2397837963161,2275.1727983645296,2159.6805865869756,0.7045209064382479,689.5967685237733,307.1249223823038,"8,5"
9,046.png,705.6563790537745,1366.6668398390377,113567,277095,174430,113567,501,1017,936,1654,204.65637905377443,349.6668398390377,0.9235841021994377,380.2604309903125,1,0.4098486078781645,711.4000281135783,2398.7139956489837,2277.1976850910855,0.6510749297712549,705.3924066675966,270.44454743365475,"6,62"
10,058.png,844.6324956146077,1290.7297235925587,176153,318588,243552,176153,646,886,1063,1650,198.63249561460776,404.72972359255874,0.9214288656014169,473.58733674342807,1,0.5529178751239846,835.2293098305399,2394.9789309126895,2273.2639225936337,0.7232664892918145,817.2138776563175,317.52607879175434,"8,61"
